Type,Code,Description,Account Name,Amount,Currency,COS Charge?
Other,,Charge du FSSQ,Charge du FSSQ marketing,0.00,Canadian Dollar,No
Other,,Charge de A-E - administration,Charge de A-E - administration,0.00,Canadian Dollar,No
Other,,Charge de A-E,Charge de A-E marketing,0.00,Canadian Dollar,No
Other,,Charge CSST,Charge CSST marketing,0.00,Canadian Dollar,No
Other,,Charge CNT,Charge CNT,0.00,Canadian Dollar,No
Other,,Charge Avantage Assurance maladie,Charge Avantage Ass. maladie marketing,0.00,Canadian Dollar,No
Other,,Charge Avantage Ass.vie pac,Charge Avantage Ass.vie pac marketing,0.00,Canadian Dollar,No
Other,,Charge Avantage Ass. vie pac -admin,Charge Avantage Ass. vie pac -admin,0.00,Canadian Dollar,No
Other,,Charge Avantage Ass. maladie -admin,Charge Avantage Ass. maladie administration,0.00,Canadian Dollar,No
Other,,Charge Assurance invalidité longue,Charge Assurance invalidité marketing,0.00,Canadian Dollar,No
Other,,Charge Assurance Invalidité - admin,Charge Assurance invalidité administration,0.00,Canadian Dollar,No
Other,,Cellulaire,Cellulaires,0.00,Canadian Dollar,No
Other,,Cadeaux et récompenses,Cadeaux et récompenses,0.00,Canadian Dollar,No
Other,,Business Development Sponsorship US,Business Development Sponsorship US,0.00,Canadian Dollar,No
Other,,Business Development Sponsorship CA,Business Development Sponsorship Canada,0.00,Canadian Dollar,No
Other,B2CBRABUICANANDA,B2C Brand Building Cananda,B2C Brand Building Canada,0.00,Canadian Dollar,No
Other,,Autre produit,Autre produit,0.00,Canadian Dollar,No
Other,,Attente livraison Sobeys,Attente livraison Sobeys,0.00,Canadian Dollar,No
Other,,Attente livraison Go Fresh,Attente livraison Go Fresh,0.00,Canadian Dollar,No
Other,,Attente livraison Chiovitti,Attente livraison Chiovitti,0.00,Canadian Dollar,No
Other,,Attente livraison Canadawide,Attente livraison Canadawide,0.00,Canadian Dollar,No
Other,,Attente Courchesne Larose,Attente Courchesne Larose,0.00,Canadian Dollar,No
Other,,Assurances responsabilités,Assurances responsabilités,0.00,Canadian Dollar,No
Other,,Assurances Cargo,Assurances Cargo,0.00,Canadian Dollar,No
Other,,Amortissements et impôts,Amortissements et impôts,0.00,Canadian Dollar,No
Other,,Amortissement de l'exercice,Amortissement de l'exercice,0.00,Canadian Dollar,No
Other,CREAGEANDCONSULTANTS,Creative Agency and Consultants,Creative Agency and Consultants,0.00,Canadian Dollar,No
Other,,Activités promo en magasin Longo's,Activités promo en magasin Longo's,0.00,Canadian Dollar,No
Other,COUDUFRUIT,Cout du fruit,Coût du fruit,0.00,Canadian Dollar,No
Other,OTHER-INC,Other Charges,Services,0.00,Canadian Dollar,No
Other,SHIP-HAN-INC,Shipping and Handling Fee,Services,0.00,Canadian Dollar,No
Other,DISCOUNT,Discount,Sales Discount,0.00,Canadian Dollar,No
Other,OPENBAL-INC,Opening Balance Income CAD,Opening Balance Income,0.00,Canadian Dollar,No
Other,OPENBAL-EXP,Opening Balance Expense,Opening Balance Expense,0.00,Canadian Dollar,No
Other,INS-FORW-COST,Consulting and Forwarding Fees,Insurance Cost,0.00,Canadian Dollar,No
Other,INS-COST,Insurance Cost,Insurance Cost,0.00,Canadian Dollar,No
Other,INS-INC,Insurance Fee,Insurance Income,0.00,Canadian Dollar,No
Other,SALE-COST,Sales Commission,Sales Commission,0.00,Canadian Dollar,No
Other,AGT-COST,Agent profit share - expense,Agent Liquidation Cost,0.00,Canadian Dollar,No
Other,AGT-INC,Agent profit share,Agent Liquidation Income,0.00,Canadian Dollar,No
