Number,Entity,Transaction Date,Employee,Account Name,Bank Account,Reconciliation Date,Amount,AR Amount (CAD),Amount (CAD),Tax Amount,Withholding Tax Amount,Currency,Exchange Rate,Reverse Exchange Rate,Is Printed,Realized Amount (CAD),Gain/Loss (CAD),Attachments
00019834382025,Costco Vaughan Wet,11/25/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 96,624.00","134,045.23","135,418.54",USD 0.00,USD 0.00,United States Dollar,0.71,1.4,No,"135,418.54","-1,373.31",No
30246,Top Banana,11/25/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 22,788.00","31,789.26","31,937.38",USD 0.00,USD 0.00,United States Dollar,0.71,1.4,No,"31,937.38",-148.12,No
2000298925,Sobeys BCH,11/25/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 32,081.28","44,167.90","44,961.91",USD 0.00,USD 0.00,United States Dollar,0.71,1.4,No,"44,961.91",-794.01,No
2000298925,Sobeys Quebec City,11/25/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 13,749.12","18,929.10","19,269.39",USD 0.00,USD 0.00,United States Dollar,0.71,1.4,No,"19,269.39",-340.29,No
30230,Top Banana,11/22/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 22,788.00","31,812.05","31,948.78",USD 0.00,USD 0.00,United States Dollar,0.71,1.4,No,"31,948.78",-136.73,No
00019721722025,Costco Vaughan Wet,11/22/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 24,381.00","33,836.59","34,182.16",USD 0.00,USD 0.00,United States Dollar,0.71,1.4,No,"34,182.16",-345.57,No
00019721722025,Costco Varennes,11/22/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 24,246.00","33,651.67","33,992.89",USD 0.00,USD 0.00,United States Dollar,0.71,1.4,No,"33,992.89",-341.22,No
00019651032025,Costco Vaughan Wet,11/21/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 24,156.00","33,481.23","33,866.71",USD 0.00,USD 0.00,United States Dollar,0.71,1.4,No,"33,866.71",-385.48,No
21985,"Chiovitti Banana Co., Ltd",11/20/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 46,238.40","64,444.11","65,357.98",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"65,357.98",-913.87,No
00019575442025,Costco Vaughan Wet,11/20/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 48,312.00","66,963.90","68,289.01",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"68,289.01","-1,325.11",No
00019575442025,Costco Varennes,11/20/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 24,156.00","33,481.95","34,144.51",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"34,144.51",-662.56,No
2000291535,Sobeys BCH,11/19/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 16,040.64","22,015.78","22,545.12",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"22,545.12",-529.34,No
2000291535,Sobeys Quebec City,11/19/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 6,874.56","9,435.33","9,662.19",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"9,662.19",-226.86,No
00019423522025,Costco Varennes,11/18/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 47,506.63","65,677.92","67,150.62",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"67,150.62","-1,472.70",No
00019423522025,Costco Vaughan Wet,11/18/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 96,624.00","133,570.60","136,578.02",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"136,578.02","-3,007.42",No
30112,Top Banana,11/15/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 22,788.00","31,698.11","32,085.50",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"32,085.50",-387.39,No
